screenname,tweet,key
@793_kayu,"#名刺代わりの小説10選

残像に口紅を / 筒井康隆
虚人たち / 筒井康隆
夢の木坂分岐点 / 筒井康隆
終末のフール / 伊坂幸太郎
ドグラ・マグラ / 夢野久作
私の好きな読みもの / 夢野久作
彼の娘 / 飴屋法水
症例A / 多島 斗志之
塩の街 / 有川浩
星の王子様 / サン=テグジュペリ",2019-03-12_21:00:00
@tiori3150,"影を売る店
伯林蝋人形館 
ゆめこ縮緬 
双頭のバビロン
(上記皆川博子)
アクアリウムの夜/稲生平太郎
塔の中の女/間宮翠
夢の遠近法/山尾悠子
芦屋家の崩壊/津原泰水
氷/アンナカヴァン
レインコートを着た犬/吉田篤弘
天使/ 佐藤亜紀
悪童日記/ アゴタ・クリストフ
#名刺代わりの小説10選",2019-03-12_21:00:00
@fuzishima_mita,"スイッチョねこ 大佛次郎
普請中  森鴎外
夏の葬列  山川方夫
アパシー  片山飛佑馬
見かえり美人  古屋健三
猫の事務所  宮沢賢治
名もなき毒  宮部みゆき
粒子  津島佑子
レミゼラブル  ヴィクトル・ユゴー
 #名刺代わりの小説10選

まだ読破してないけれど。
夏の花  原民喜",2019-03-12_21:00:00
@marison03,"#名刺代わりの小説10選

・壬生義士伝
・流転の海
・緑色の休み時間
・サムシングブルー
・空中庭園
・みをつくし料理帖
・剣客商売
・流しのしたの骨
・とんび
・山霧

好きな作家さんではなく、小説を選ぶのは難しい。
でも楽しかった！良いハッシュタグ見つけた♪",2018-03-27_09:00:00
@winter_dust_,"#名刺代わりの小説10選

砂漠/伊坂幸太郎
美丘/石田衣良
氷平線/桜木紫乃
勝手にふるえてろ/綿矢りさ
ススキノ・ハーフボイルド/東直己
私の男/桜庭一樹
砕け散るところを見せてあげる/竹宮ゆゆこ
陽だまりの彼女/越谷オサム
青い月の夜、もう一度彼女に恋をする/広瀬未衣
銀翼のイカロス/池井戸潤",2020-05-14_15:00:00
@love_books_36,"#名刺代わりの小説10選 

金閣寺
深い河
檸檬
敦煌
輝ける闇
忘却の河
恩讐の彼方に
砂の女
螢河
コインロッカー・ベイビーズ",2020-06-21_15:00:00
@IT_teacher_SE,"#名刺代わりの小説10選 
インスマスの影/H・P・ラヴクラフト
君がいる時はいつも雨/山田悠介
かにみそ/倉狩聡
僕は君を殺せない/長谷川 夕
龍神の雨/道尾秀介
骸の爪/道尾秀介
告白/湊 かなえ
ハリネズミの願い/トーン・テレヘン
孤蓬のひと/葉室 麟
ナミヤ雑貨店の奇蹟/東野圭吾",2020-06-21_15:00:00
@dokusyo_like,"#名刺代わりの小説10選

罪と罰/ドストエフスキー
異邦人/カミュ
車輪の下/ヘッセ
姑獲鳥の夏/京極夏彦
蜜蜂と遠雷/恩田陸
２６６６/ロベルト・ボラーニョ
さまよう刃/東野圭吾
サラバ！/西加奈子
告白/湊かなえ
虚構船団/筒井康隆",2020-06-15_03:00:00
@NYasukoo,"#名刺代わりの小説10選
夏目漱石/坊っちゃん
吉本ばなな/TSUGUMI
サリンジャー/ライ麦
ドストエフスキー/カラマーゾフ
角田光代/八日目の蝉
貴志祐介/悪の教典
宮部みゆき/火車
川上弘美/センセイの鞄
山崎豊子/沈まぬ太陽
村上春樹/ねじまき鳥クロニクル",2018-06-11_03:00:00
@aabbccoo2,"#名刺代わりの小説10選
とても参考になります。自分で選ぶとやっぱり偏りがちなんでねー。それから私、ずっと「蜜蜂と遠雷」を「ハチミツと遠雷」だと思ってたんですよ。気づいてビックリ😳",2019-04-02_21:00:00
@natapon,"#名刺代わりの小説10選
烏は主を選ばない/阿部智里
月魚/三浦しをん
No.6/あさのあつこ
図書館戦争/有川浩
ぼくは勉強ができない/山田詠美
西の魔女が死んだ/梨木香歩
氷菓/米澤穂信
しゃばけ/畠中恵
銀河鉄道の夜/宮沢賢治
クレヨン王国の十二か月/福永令三",2019-04-02_21:00:00
@cascade7733,"#名刺代わりの小説10選
野獣死すべし 大藪春彦
氷点 三浦綾子
アトランティスのこころ S・キング
無間人形 新宿鮫Ⅳ 大沢在昌
豊饒の海 「春の雪」 三島由紀夫
沈まぬ太陽 御巣鷹山篇 山崎豊子
クライマーズハイ 横山秀夫
ムーンパレス P・オースター
羊たちの沈黙  T・ハリス
人間の証明 森村誠一 pic.twitter.com/8YteZACob3",2018-09-16_09:00:00
@bookseries1000,"模倣犯/宮部みゆき
異邦の騎士/島田荘司
姑獲鳥の夏/京極夏彦
トリニティブラッド/吉田直
黒と茶の幻想/恩田陸
魔法使いハウルと火の悪魔/ダイアナ
そして誰もいなくなった/アガサクリスティ
カーテン/アガサクリスティ
Yの悲劇/エラリークイーン
白衣の女/ウィルキーコリンズ

 #名刺代わりの小説10選",2020-10-09_09:00:00
@michi_blog05,"#名刺代わりの小説10選

かがみの孤城／辻村深月
蜜蜂と遠雷／恩田陸
みかづき／森絵都
舟を編む／三浦しをん
手紙／東野圭吾
とんび／重松清
永遠の０／百田尚樹
死神の精度／伊坂幸太郎
空中ブランコ／奥田英朗
火車／宮部みゆき

※一部変えました",2020-10-09_09:00:00
@iori_hanatei,"#名刺代わりの小説10選 

青髭の七人目の妻/アイリッシュ
一千一秒物語/稲垣足穂
有頂天家族/森見登美彦
江分利満氏の優雅な生活/山口瞳
ダウト/向田邦子
贋作吾輩は猫である/内田百閒
玄関風呂/尾崎一雄
ほとんど無害/アダムス
原島弁護士の処置/小杉健治
木曜の男/チェスタトン

#本棚のあいうえお pic.twitter.com/hXwd0QLZks",2020-10-09_09:00:00
@sansanto108,"#名刺代わりの小説10選
有栖川有栖 スウェーデン館の謎
道尾秀介 背の眼
同上 冬の鬼
倉知淳 星降り山荘の殺人
同上 過ぎ行く風はみどり色
辻村深月 冷たい校舎の時は止まる
中山七里 アポロンの嘲笑
米澤穂信 手作りチョコレート事件
梓崎優 叫びと祈り
西澤保彦 解体諸因",2020-10-09_09:00:00
@puchiama,"#子供の頃何度も読んだあの本

も今の私を作っているなあ。
みんなのもぜひ聞かせて欲しい。

#名刺代わりの小説10選",2019-01-14_21:00:00
@copess_0918,#名刺代わりの小説10選 pic.twitter.com/TOJLXwEUPp,2019-01-14_21:00:00
@puchiama,"プリズンホテル 浅田次郎
女の一生 遠藤周作
図書館戦争 有川浩
桜風堂ものがたり 村山早紀
ツナグ 辻村深月
獣の奏者上橋菜穂子 
蒼穹の昴 浅田次郎
ハリーポッター J.Kローリング
風と共に去りぬ マーガレットミッチェル
チェリー 野中ともそ
（シリーズものは主題だけ） #名刺代わりの小説10選",2019-01-14_21:00:00
@uru_h,"#名刺代わりの小説10選
すべてがFになる 森博嗣
青空の卵 坂木司
緋色の研究 コナン・ドイル
だれも知らない小さな国 佐藤さとる
獣の奏者 上橋菜穂子
妖怪アパートの優雅な日々 香月日輪
クビキリサイクル 西尾維新
午後からはワニ日和 似鳥鶏
ギガース 今野敏
夏と花火と私の死体 乙一",2019-01-14_21:00:00
@baraki_dx,"#名刺代わりの小説10選

征途　佐藤大輔
暗い波濤　阿川弘之
リヴィエラを撃て　高村薫
パタゴニア　あるいは風とタンポポの物語　椎名誠
シアター！　有川浩
きんぴか　浅田次郎
第6大陸　小川一水
裸者と裸者　打海文三
しゃべれどもしゃべれども　佐藤多佳子
よろずや平四郎活人券　藤沢周平",2019-01-14_21:00:00
@nextsunday1114,"ぼくのメジャースプーン/辻村深月
子どもたちは夜遊ぶ/辻村深月
図書館戦争/有川浩
海の底/有川浩
青い鳥/重松清
君にしか聞こえない/乙一
キリン/山田悠介
君の膵臓をたべたい/住野よる
青くて痛くて脆い/住野よる

9冊！笑
最近読めてないし、これ！みたいなのに出会いたい～

#名刺代わりの小説10選",2019-01-14_21:00:00
@jMJv1CIH1Scs9v4,"#名刺代わりの小説10選
きみの友だち  重松清
こころ            夏目漱石
女生徒            太宰治
皮膚と心        太宰治
おちくぼ姫    田辺聖子
人間失格        太宰治
終点のあの子 柚木麻子
ナイルパーチの女子会  柚木麻子
疾走               重松清
５年３組リョウタ組 石田衣良",2019-02-10_21:00:00
@x0raki,"#名刺代わりの小説10選
首無の如き祟るもの
メルカトルかく語りき
匣の中の失楽
虚無への供物
ドグラ・マグラ
黒死館殺人事件
夏と冬の奏鳴曲
黒と愛
眩暈を愛して夢を見よ
ループ",2019-02-10_21:00:00
@HuminoTuduri,"#名刺代わりの小説10選
三島「金閣寺」
三島「禁色」
三島「仮面の告白」
三島「奔馬」
三島「天人五衰」
三島「近代能楽集」
筒井康隆「大いなる助走」
J・ケルアック「オン・ザ・ロード」
ラディゲ「肉体の悪魔」
クラーク「幼年期の終わり」

過去ツイ見つからなかったので",2019-02-10_21:00:00
@takashimukashi_,"#名刺代わりの小説10選
伊坂幸太郎 /魔王,グラスホッパー
辻村深月/凍りのくじら,スロウハイツの神様
朝井リョウ/何者
村上春樹/ねじまき鳥クロニクル
坂木司/切れない糸
伊藤計劃/虐殺器官
窪美澄/晴天の迷いくじら
山本弘/アイの物語

今更ながら自己紹介を兼ねて
皆さんよろしくお願いします☺️",2019-02-10_21:00:00
@NamakuraKenshi,"ロードス島戦記（＋伝説）
空ノ鐘の響く惑星で
12月のベロニカ
魔術士オーフェン
ウィザーズブレイン
フルメタルパニック
スレイヤーズ
卵王子カイルロッドの苦難
ココロコネクト
烙印の紋章

簡単に選んだので下2つはやや微妙かも
ウィザーズブレインは今でも待ってる…orz

 #名刺代わりの小説10選",2019-02-10_21:00:00
@RYYASD29,"#名刺代わりの小説10選
D.アダムス…銀河ヒッチハイク・ガイド
A.クルコフ…ペンギンの憂鬱
赤川次郎…三毛猫ホームズの推理
赤川次郎…ふたり
E.ロッダ…ローワンと魔法の地図
江國香織…ホテル カクタス
森絵都…カラフル
恩田陸…蜜蜂と遠雷
星新一…午後の恐竜
W.デュボア…三人のおまわりさん",2019-02-10_21:00:00
@sonppy0725,"#名刺代わりの小説10選
二十四の瞳
TSUGUMI
キッチン
新世界1st～5th
なんて素敵にジャパネスク！
氷点
塩狩峠
限りなく透明に近いブルー
きらきらひかる
アルジャーノンに花束を

西の魔女が死んだ←new
桜風堂ものがたり←new
百貨の魔法←new",2019-02-10_21:00:00
@maccabe_and,"#名刺代わりの小説10選

『異邦人』カミュ
『隣の家の少女』ケッチャム
『猫と庄造と二人のをんな』谷崎潤一郎
『人間椅子』江戸川乱歩
『深夜特急』沢木耕太郎
『軽蔑』モラヴィア
『夏への扉』ハインライン
『そして誰もいなくなった』クリスティ
『五千回の生死』宮本輝
『乳と卵』川上未映子",2019-02-10_21:00:00
@jLiSsaMM89PUxTo,"#名刺代わりの小説10選
#読書好きな人と繋がりたい 

書かれた本が、殆ど自分の好きと重なっていたらイイネ押してまう。

好きと苦手（読んでも特に……な作品）が混ざってたら、心で拍手。

殆どが……な時は、関われないけど読書って楽しいよねで終わる。

わざわざ「嫌い」を相手に伝える必要って？",2019-02-10_21:00:00
@coma3710,"【アリアンロッド・サガ】シリーズは、小説じゃないのだよなぁ(苦笑)

それぞれで著者が違うけどクロスオーバーするし、読み物として面白い。

だが、小説ではない！

 #名刺代わりの小説10選",2019-02-10_21:00:00
@gegege_n0_ge,"#名刺代わりの小説10選

地下室の手記/ドストエフスキー
アンダー・ユア・ベッド/大石圭
遮光/中村文則
フランケンシュタイン/シェリー
破壊者ベンの誕生/D・レッシング
ガリバー旅行記/スウィフト
人間椅子/江戸川乱歩
おかしな人間の夢/ドストエフスキー
名将大谷刑部/南原幹雄
告白/町田康",2019-02-10_21:00:00
@honkechoppy,"#名刺代わりの小説10選
10編に絞るなんて土台無理だけど敢えて！
それから/夏目漱石
春は馬車に乗って/横光利一
豊穣の海/三島由紀夫
1973年のピンボール/村上春樹
白夜行/東野圭吾
終戦のローレライ/福井晴敏
ハーモニー/伊藤計劃
コンビニたそがれ堂/村山早紀
男ともだち/千早茜
アイの物語/山本弘",2019-02-10_21:00:00
@NowmanSho,"#名刺代わりの小説10選
京極夏彦『塗仏の宴』
福井晴敏『終戦のローレライ』
V・ユゴー 『レ・ミゼラブル』
司馬遼太郎 『燃えよ剣』
連城三紀彦 『戻り川心中』
B・シュリンク『朗読者』
R・A・ハインライン『夏への扉』
中島敦 『弟子』
江戸川乱歩『D坂の殺人事件』
安部公房『箱男』",2019-02-10_21:00:00
@KawarabataOf,"#名刺代わりの小説10選
蝉時雨 /藤沢周平
影法師/百田尚樹
スコーレNO.4/宮下奈都
羊と鋼の森/〃
言の葉の庭/新海誠
こんな俺の青春ラブコメは間違っている/渡航
烏に単は似合わない/阿部ちさと
テロリストのパラソル/藤原伊織
アイネクライネナハトムジーク/伊坂幸太郎
くらまし屋家業/今村省吾",2019-02-10_21:00:00
@miya97399002,"村上春樹 ノルウェイの森
三島由紀夫 金閣寺
三島由紀夫 不道徳教育講座
坂口安吾 堕落論
夏目漱石 夢十夜
東野圭吾 容疑者Xの献身
梶井基次郎 檸檬
伊坂幸太郎 砂漠
伊坂幸太郎 死神の精度
サン=テグジュペリ 星の王子さま
 #名刺代わりの小説10選",2019-02-10_21:00:00
@f_mahiru,"#名刺代わりの小説10選
#読書好きな人と繋がりたい

ジョイス/ユリシーズ
フォークナー/響きと怒り
クンデラ/存在の耐えられない軽さ
ドスト/カラマーゾフ
アーヴィング/ホテル・ニューハンプシャー
ブロンテ/嵐が丘
漱石/行人
村上春樹/ねじまき鳥
村上龍/限りなく透明に近いブルー
中上健次/枯木灘",2019-07-03_21:00:00
@booklog_myself,"#名刺代わりの小説10選 

「海の底」 有川浩
「オーダーメイド殺人クラブ」辻村深月
「初恋彗星」綾崎隼
「この闇と光」服部まゆみ
「恋歌」朝井まかて
「君の膵臓をたべたい」住野よる
「レアリア」雪乃紗衣
「いなくなれ、群青」河野裕
「文学少女」野村美月
「三日間の幸福」三秋縋",2019-07-03_21:00:00
