screenname,tweet,key
@ymst_music,"#名刺代わりの小説10選 

村上春樹、アフターダーク
同、午後の最後の芝生
同、納屋を焼く
同、スプートニクの恋人
小川洋子、偶然の祝福
町田康、夫婦茶碗
村上龍、映画小説集
川上弘美、物語が、始まる
中島敦、山月記
芥川龍之介、蜃気楼",2017-11-29_21:00:00
@Funcustard,"#名刺代わりの小説10選
・ボッコちゃん（星新一）・笑うな（筒井康隆）・孤島の鬼（江戸川乱歩）・暗黒公使（夢野久作）・犬神家の一族（横溝正史）・鉄鼠の檻（京極夏彦）・蛇棺葬/百蛇堂（三津田信三）・リング（鈴木光司）・ハンニバル（トマス・ハリス）・ステーシー（大槻ケンヂ）",2017-11-29_21:00:00
@netuku_tukune31,"#名刺代わりの小説10選

四龍島シリーズ
スラムフィッシュ
デルフィニア戦記
李歐
Tears Roll Down
春夏冬喫茶館にようこそ
今日からマのつく自由業
子供の領分シリーズ
kissと海賊
TOKYOジャンクシリーズ",2017-11-29_21:00:00
@lovesummerI,"#名刺代わりの小説10選

幻魔大戦
女人追憶
ぼくの大好きな青髭
果しなき流れの果に
虚空遍歴
リプレイ
国境の南、太陽の西
魍魎の匣
ゼウスガーデン衰亡史
覇王の家",2017-11-29_21:00:00
@book_dividual,"イン ザ・ミソスープ/村上龍
憂鬱たち/金原ひとみ
告白/町田康
ときめきに死す/丸山健二
死の棘/島尾敏雄
ハリガネムシ/吉村萬壱
乳と卵/川上未映子
しろいろの街の、その骨の体温の/村田沙耶香
空白を満たしなさい/平野啓一郎
グランド・フィナーレ/阿部和重
#名刺代わりの小説10選",2017-11-29_21:00:00
@yama9_24,"#名刺代わりの小説10選
魍魎の匣
キノの旅
妖奇庵夜話（王ヘンに奇）
寺山修司少女詩集
少女地獄
封神演義
異邦の騎士
孤島の鬼
近代能楽集
金田一少年の事件簿〜オペラ座館新たなる殺人",2017-11-29_21:00:00
@ahirusannba,"#名刺代わりの小説10選

お父さんのバックドロップ
今夜どこかのバーで
格闘するものに○
タイムマシンの作り方
バイバイブラックバード
スタンドバイミー恐怖の四季
マリア様がみている
ROD
あるキング
しのぶセンセイにサヨナラ
ペンギンハイウェイ

タイムマシンの作り方は小説違う",2017-11-29_21:00:00
@asatsuki0214,"#名刺代わりの小説10選
舞城王太郎「淵の王」「美味しいシャワーヘッド」
佐藤友哉「1000の小説とバックベアード」「灰色のダイエットコカコーラ」
平山夢明「枷」「テロルの創世」
乙一「GOTH」
牧野修「ランチュウの誕生」
藤野可織「逃げろ！」
伊藤計劃「セカイ、蛮族、ぼく。」",2017-11-29_21:00:00
@HALKA_KKA,"#名刺代わりの小説10選 

メイン･ディッシュ/北森鴻
ナルニア国物語/C･S･ルイス
狐笛のかなた/上橋菜穂子
火車/宮部みゆき
ながい坂/山本周五郎
兎の眼/灰谷健次郎
アルジャーノンに花束を/ダニエル･キイス
そして誰もいなくなった/アガサ・クリスティ
指輪物語/J･R･R･トールキン",2017-11-29_21:00:00
@inugami4649,"#名刺代わりの小説10選
短編で選んでみた。

私たちがやったこと
ヴェラ
占拠された屋敷
犬が鳴いていないか
大女優の右手
杳子
氷の海のガレオン
白い少女
髪の花
エレンディラ",2017-11-29_21:00:00
@bintang1999,"#名刺代わりの小説10選
疾走
泥の川
月と蟹
流星雨
4TEEN
真夏の犬
グロテスク
 壬生義士伝
アイムソーリー、ママ
上海の西、デリーの東",2017-11-29_21:00:00
@baku_ydisco,#名刺代わりの小説10選 で遊べるほど小説読んでねえな つらい,2017-11-29_21:00:00
@kaie_in_the_box,"外国人作家のみで選んでみました☺️
他にも色々ありますが…💦

歌う船
検死官
守護者
ファントム
死者の代弁者
星を継ぐもの
わが心臓の痛み
エンダーのゲーム
さよならまでの三週間
グッドナイト、アイリーン 
#名刺代わりの小説10選",2017-11-29_21:00:00
@tomoya_circuit,"#名刺代わりの小説10選

あった！これだ
赤い鳥／鈴木三重吉(編)
銀の匙／中勘助
ﾌｨﾈｶﾞﾝｽﾞ ｳｴｲｸ／ｼﾞｪｲﾑｽﾞ ｼﾞｮｲｽ
1984年／ｼﾞｮｰｼﾞｵｰｳｪﾙ
一銭五厘の旗／花森安治
船に乗れ！／藤谷治
妻と私／江藤淳
霊長類ヒト科動物図鑑／向田邦子
小説以外もある。10選じゃない。",2017-11-29_21:00:00
@barinkay,"#名刺代わりの小説10選 恋愛小説のパターン10選
ロミオとジュリエット（敵同士）
たけくらべ（おさななじみ
シラノ・ド・ベルジュラック（身代わり）
高慢と偏見（ツンデレ）
嵐が丘（壁ドン）
源氏物語（年上男が好みに育てる）
アラベラまたは十二夜（男と思ったら女）
エマ（ミイラ取りがミイラ）",2017-11-29_21:00:00
@m92fsone,"黄昏色の詠使い
白鳥異伝
東雲侑子は短編小説をあいしている
その本の物語
よろこびの歌
安達としまむら
雨の降る日は学校に行かない
鎌倉香房メモリーズ
BEATLESS
薔薇のマリア

#名刺代わりの小説10選 

こういう雰囲気の作品が好きって感覚で選んでみましたが…。",2017-11-29_21:00:00
@ngz55,"#名刺代わりの小説10選
白髪小僧
空気頭
洪水はわが魂に及び
地球最後の人間
シンセミア
狂人日記（ゴーゴリ）
トルネイド・アレイ
赤い唇
殺す
生ける屍（オーツ）",2017-11-29_21:00:00
@ONUMA_Eriko,"#名刺代わりの小説10選 

十二国記シリーズ
魔性の子
キーリ
八咫烏シリーズ
勾玉三部作
戯言シリーズ
巷説百物語シリーズ
嗤う伊右衛門
京極堂シリーズ

読んできた作品数は少なくはないと思うけど、「これ！」ってものとなると、意外と10作に満たぬ。
でもシリーズもの全部記載したら軽く超えるw",2017-11-29_21:00:00
@rfFNcP6cXWQ1RJk,"#名刺代わりの小説10選
・十二国記
・冷たい校舎の時は止まる
・麦の海に沈む果実
・チグリスとユーフラテス
・空色勾玉
・金春屋ゴメス
・永遠の0

作者かぶらないようにしたら10も出ませんでした_(:3 」∠)_偏っています…",2017-11-29_21:00:00
@Hideaway_cafe_,"はるかな国の兄弟
チョコレート工場の秘密
太陽の金の林檎
世界の終わりとハードボイルドワンダーランド
羊たちの沈黙
香水
エバ・ルーナ
猫を抱いて象と泳ぐ
私を離さないで
楽園のキャンバス

スティーブン・ミルハウザーも入れたかったけど入らない…

 #名刺代わりの小説10選",2017-11-29_21:00:00
@_konpee02_,"#名刺代わりの小説10選
はてしない物語
夏への扉
夜間飛行
ナイン・ストーリーズ
昨夜のカレー、明日のパン
有頂天家族
ベイビー・ビバップ
キッチン
ちいさなちいさな王さま
バッテリー",2017-11-29_21:00:00
@aim_hynm,"金閣寺
掌の小説
春琴抄
地獄変
鏡地獄
私がいなかった街で
裏庭
誰がこまどり殺したの
玩具修理者
バナナ剥きには最適の日々

#名刺代わりの小説10選",2017-11-29_21:00:00
@uzukixxx,"はなはなみんみ物語
アルスラーン戦記
Tale of Third Moon
十二国記
我が手に拳銃を
デルフィニア戦記
シャーロキアン・クロニクル
剣の輪舞
断鎖
バチカン奇跡調査官

#名刺代わりの小説10選",2017-11-29_21:00:00
@raizou010618,"北方謙三版水滸伝①〜⑩
 #名刺代わりの小説10選",2017-11-29_21:00:00
@siirobi,"#名刺代わりの小説10選
姑獲鳥の夏
結晶世界
順列都市
ラギッド・ガール―廃園の天使〈2〉 
皆勤の徒
夜長姫と耳男
銀河鉄道の夜
さかしま
白鯨
フランケンシュタイン",2017-11-29_21:00:00
@code_melody,"#名刺代わりの小説10選

ロング・グッドバイ
そして夜は甦る
1973年のピンボール
世界の終わりとハードボイルド・ワンダーランド
夢十夜
12月のベロニカ
ある日、爆弾が落ちてきて
もうひとつの夏へ
蒲団
少女病",2017-11-29_21:00:00
@wasiyara,"#名刺代わりの小説10選
エレンディラ
リフトウォーサーガシリーズ
帝国の娘
魔法の歌シリーズ
血のごとく赤く（短編集）
ゴルゴン（短編集）
パーンの竜騎士シリーズ
ダークタワー外伝
星の王子さま
闇の公子

海外小説でまとめてみました。",2017-11-29_21:00:00
@yunopippi_mogu,"銀河鉄道の夜/
赤毛のアン/
若草物語/
月魚
夜啼く鳥は夢を見た
夏至祭
魚たちの離宮
君の波が聞こえる
乙女の港
花物語(吉屋信子の方)

 #名刺代わりの小説10選",2017-11-29_21:00:00
@photo_subaru,"ハリーポッターと賢者の石※
精霊の守人※
バッテリー
狼と香辛料
鳥籠荘の今日も眠たい住民たち
氷菓※
チームバチスタの栄光※
シアター
船を編む
雪よ林檎の香のごとく

#名刺代わりの小説10選 

※印は別タイトルがあるシリーズ
同作者は1作品(1シリーズ)縛りで
最後だけBL
これ他の人のもみたいな",2017-11-29_21:00:00
@croooon,"吉本ばなな「TSUGUMI」「キッチン」
梨屋アリエ「プラネタリウム」
恩田陸「夜のピクニック」「麦の海に沈む果実」
伊坂幸太郎「チルドレン」
森見登美彦「夜は短し歩けよ乙女」「宵山万華鏡」
有川浩「図書館戦争」
桜庭一樹「青年のための読書クラブ」

#名刺代わりの小説10選",2017-11-29_21:00:00
@barinkay,"#名刺代わりの小説10選 恋愛小説のパターン10選
あと「みつどもえ」というパターンがあるはずだけど、映画しか思いつかない。",2017-11-29_21:00:00
@kisagyoku,"#名刺代わりの小説10選

人間失格
カラフル
名探偵に薔薇を
DDD
有頂天家族
インシテミル
蟲と眼球とシリーズ
人間シリーズ
小市民シリーズ
砂糖菓子の弾丸は撃ちぬけない

DDD3巻が読みたくて読みたくて時々どうしようもなくなる。待ってます……。",2017-11-29_21:00:00
@kaie_in_the_box,"日本人作家のみで選んでみました…10冊に絞るの苦しかったです😭

李歐
屍鬼
火車
白夜行
魍魎の匣
虐殺器官
蒲生邸事件
今はもうない
麦の海に沈む果実
ブレイブ・ストーリー
 #名刺代わりの小説10選",2017-11-29_21:00:00
@ryuka511,"#名刺代わりの小説10選

星の王子さま
こころ
世界の終わりとハードボイルドワンダーランド
どちらかが彼女を殺した
哀しい予感
僕のメジャースプーン
烏に単衣は似合わない
緑の目の令嬢
四つの署名
怪人二十面相

統一感があるような、無いような……。",2017-11-29_21:00:00
@aim_hynm,#名刺代わりの小説10選 をやろうとするけど、教わって読んだ本はなんだか教えてくれた人の名刺のような気がして入れるのがためらわれ、そうするとうまく埋まらんな,2017-11-29_21:00:00
@sakuranbo196755,"#名刺代わりの小説10選

羊と鋼の森
誰かが足りない
マディソン郡の橋
羊たちの沈黙
アルジャーノンに花束を
スイミー
スタバトマーテル
フォーチュンクエスト

絵本とラノベも混ざるという。",2017-11-29_21:00:00
@oumi_io,"GOTH(乙一)
失はれる物語(乙一)
Nのために(湊かなえ)
サファイア(湊かなえ)
夜市(恒川光太郎)
幕末新選組(池波正太郎)
スカイクロラ(森博嗣)
人形館の殺人(綾辻行人)
名探偵の掟(東野圭吾)
探偵ガリレオ(東野圭吾)
#名刺代わりの小説10選",2017-11-29_21:00:00
@shibazuk002ddt2,"#名刺代わりの小説10選
推理小説編（日本）

三つ首塔　
三毛猫ホームズの推理　
名探偵が多すぎる　
人狼城の恐怖　
迷走法廷
新宿鮫
眩暈
黄金仮面
京都駅殺人事件
姑獲鳥の夏

最近は推理小説は読まなくなったなぁ。。。",2017-11-29_21:00:00
@zoromoku,"ボヴァリー夫人
星の王子さま
青年の汚名
博士の愛した数式
ラッシュライフ
向日葵の咲かない夏
さまよう刃
手紙  東野圭吾
夜想   貫井徳郎
殺人症候群
  #名刺代わりの小説10選",2017-11-29_21:00:00
@kyon2_jg,"キッチン
デッドエンドの思い出
風が強く吹いている
月魚
天国旅行
カラフル
六番目の小夜子
有頂天家族
四畳半神話大系
ペンギン・ハイウェイ
#名刺代わりの小説10選

ジョカゲは入れるのはもう大前提で…。小説しぼるのは難しい。
あと分かりやすく同じ作家のしか読んでないな。",2017-11-29_21:00:00
@hotarubikuro,"#名刺代わりの小説10選 
ハッピーバースデー命かがやく瞬間

夏と花火と私の死体

暗黒童話

ジョーカーゲーム

ZOO

ふたり

居酒屋◯千夜物語

贖罪

告白

毒笑小説",2017-11-29_21:00:00
@mehi5mehi,"小市民シリーズ
百瀬、こっちを向いて。
ペンギン・ハイウェイ
儚い羊たちの祝宴
GOTH
ロルドの恐怖劇場
舟を編む
砂糖菓子の弾丸は撃ちぬけない
星新一作品
四畳半神話体系
#名刺代わりの小説10選",2017-11-29_21:00:00
@kobuta_11,"封神演義/姿三四郎/屍鬼/ 完訳水滸伝/関ヶ原/城塞 椿と花水木/影武者徳川家康役/ ベルリン飛行指令/エトロフ発緊急電
選択に悩む～✴
#名刺代わりの小説10選",2017-11-29_21:00:00
@barinkay,"#名刺代わりの小説10選 恋愛小説のパターン10選
続き
カルメン（悪女に引き回され）
椿姫（死に向かう愛）",2017-11-29_21:00:00
@MayumiShinoda11,今日のブログは「#名刺代わりの小説１０選」の翻訳ミステリ篇に、簡単な作品解説をつけました。個人的押しはＭ．Ｊ．カーター『紳士と猟犬』です。kama-wanu.jugem.jp,2019-06-30_15:00:00
@PxDmnFKM,"春の戴冠／辻邦生
背教者ユリアヌス／辻邦生
安土往還記／辻邦生
西行花伝／辻邦生
楡家の人びと／北杜夫
紫苑物語／石川淳
至福千年／石川淳
火宅の人／檀一雄
死の棘／島尾敏雄
朝のガスパール／筒井康隆

 #名刺代わりの小説10選",2020-05-26_15:00:00
@k_bookmarker03,"#名刺代わりの小説10選
・小手毬るい/ノルウェーの森の猫 
・梶井基次郎/檸檬
・F･ブラウン他/街角の書店
・杉井光/神様のメモ帳
・三上延/ビブリア古書堂の事件手帖
・辻村深月/ツナグ
・三浦しをん/舟を編む
・横光利一/春は馬車に乗って
・はやみねかおる/赤い夢の迷宮
・永井荷風/ふらんす物語",2020-05-26_15:00:00
@ntksnb,"「椅子」「おみやげ」「午後の恐竜」「宇宙のあいさつ」星新一
『青蛙堂鬼談』岡本綺堂
『図南の翼』小野不由美
『魍魎の匣』京極夏彦
『警視庁草紙』山田風太郎
『わらいねこ』(童話)今江祥智
『ねこのかいぎ』(童話)神沢利子

怪談、SF、ミステリー、不思議な話が好き。
#名刺代わりの小説10選",2020-05-26_15:00:00
@Stiria_KIYO,"#名刺代わりの小説10選
なんて素敵なタグだ。

キノの旅
その他時雨沢先生の作品
海底二万海里
奇跡の島
ノスタルギガンテス←特にオススメ
スカイラーク号の冒険
幸福トラベラー
だいじな本の見つけ方
文学少女シリーズ
恐竜がくれた夏休み

キノの旅は個人的に一番好きなので別枠です。",2018-05-19_21:00:00
@teraemon2001,"#名刺代わりの小説10選

羊をめぐる冒険/村上春樹
愛と幻想のファシズム/村上龍
魍魎の匣/京極夏彦
匣の中の失楽園/竹本健治
ドグラ・マグラ/夢野久作
孤島の鬼/江戸川乱歩
犬神家の一族/横溝正史
ホテル・アイリス/小川洋子
眼球譚/ジョルジュ・バタイユ
Ｏ嬢の物語/ポーリーヌ・レアージュ",2018-05-19_21:00:00
@nobuyo_miitomo,"屍鬼/小野不由美
十角館の殺人/綾辻行人
人形は何故殺される/高木彬光
しあわせの書/泡坂妻夫
過ぎ行く風は緑色/倉知淳
そして5人がいなくなる/はやみねかおる
トスカの接吻/深水黎一郎
天使の囀り/貴志祐介
サクラダリセット/河野裕
球形の季節/恩田陸

 #名刺代わりの小説10選",2018-05-19_21:00:00
@literaryrock,"それから／夏目漱石
金閣寺/三島由紀夫
海辺のカフカ/村上春樹
メタモルフォセス群島/筒井康隆
スティルライフ/池澤夏樹
池袋ウエストゲートパーク/石田衣良
赤と黒/スタンダール
魔の山/トーマスマン
ライ麦畑でつかまえて/サリンジャー
嵐が丘/ブロンテ

#名刺代わりの小説10選",2018-05-19_21:00:00
@ryokaloid,"#名刺代わりの小説10選 

若きウェルテルの悩み/ゲーテ
車輪の下/ヘッセ
ハムレット/シェークスピア
夜間飛行/サン=テグジュペリ
星の王子さま/サン=テグジュペリ
最後の喫煙者/筒井康隆
弟子/中島敦
伊豆の踊り子/川端康成
ボクたちはみんな大人になれなかった/燃え殻
シグナルとシグナレス/宮沢賢治",2018-05-19_21:00:00
@fugeneko,"今更の、これ。
#名刺代わりの小説10選 

・永遠の0
・赤めだか
・博士の愛した数式
・トワイライト(重松清)
・キャッチャー・インザライ
・漁船の絵(アラン・シリトー)
・リア王
・源氏物語
・シャーロック・ホームズシリーズ
・ハリー・ポッターシリーズ",2020-04-27_09:00:00
@46SrKr96,"神様のカルテシリーズ/ 夏川草介
天地明察/ 冲方丁
蜩ノ記/ 葉室麟
ツナグ/ 辻村深月
容疑者Xの献身/  東野圭吾
こころ/ 夏目漱石
アイネクライネナハトムジーク/ 伊坂幸太郎
花の鎖/ 湊かなえ
優しい死神の飼い方/ 知念実希人
和菓子のアン/ 坂本司

#名刺代わりの小説10選",2020-04-27_09:00:00
@kumakuma080,"神様のボート／江國香織
流しのしたの骨／江國香織
センセイの鞄／川上弘美
猫を拾いに／川上弘美
キッチン／吉本ばなな
デッドエンドの思い出／よしもとばなな
海辺のカフカ／村上春樹
カラフル／森絵都
ぐるぐるまわるすべり台／中村航
リレキショ／中村航

 #名刺代わりの小説10選",2020-04-27_09:00:00
@sistino7,"【辻村深月】
凍りのくじら
子どもたちは夜と遊ぶ
スロウハイツの神様
かがみの孤城

【小川洋子】
シュガータイム
博士の愛した数式
薬指の標本

どうしても生きてる / 朝井リョウ
思い出の修理工場 / 石井明彦
星の王子さま / サン＝テグジュペリ

 #名刺代わりの小説10選
#全読",2020-04-27_09:00:00
@Ene_0818,"#名刺代わりの小説10選
敬称略。
「都会のトム&ソーヤ」はやみねかおる
「カラフル」森絵都
「僕の生きる道」橋部敦子
「さくら」西加奈子
「三日間の幸福」三秋縋
「いなくなれ、群青」河野裕
「君は月夜に光り輝く」佐野徹夜
「引きこもりの弟だった」葦舟ナツ
「舟を編む」三浦しをん

下へ↓",2020-04-27_09:00:00
@hainekun1Q84,"#名刺代わりの小説10選 ver.2

村上春樹「1Q84」

森見登美彦「四畳半王国見聞録」

森絵都「永遠の出口」

角田光代「presents」

吉本ばなな「アムリタ」

G・マルケス「百年の孤独」

原田マハ「楽園のカンヴァス」

宮本輝「螢川」

M・エンデ「モモ」

R・カーヴァー「大聖堂」",2020-01-02_21:00:00
@hattatsusurvive,"#名刺代わりの小説10選

マルケス「百年の孤独」
坂口安吾「白痴」
夏目漱石「夢十夜」
三島由紀夫「豊饒の海」
安部公房「砂の女」
デュラス「ラマン」
ヘッセ「車輪の下」
谷崎潤一郎「細雪」
イアン・マキューアン「愛の続き」
サガン「悲しみよこんにちは」

全体的に古いな🤔",2020-01-02_21:00:00
@softhathat,"・ライ麦畑でつかまえて/サリンジャー
・草の竪琴/カポーティ 
・星の王子様/サンテグジュペリ
・花火/内田百閒
・紙の動物園/ケンリュウ
・三日月村の黒猫/安房直子
・気流の鳴る音/真木悠介
・トムは真夜中の庭で/ピアス
・虐殺器官/伊藤計劃
・はてしない物語/エンデ

#名刺代わりの小説10選
幻想み",2019-12-31_03:00:00
@Izmmzl,"文字数が抑えきれなかった🤔
 #名刺代わりの小説10選 pic.twitter.com/AqKyVhXOMb",2019-10-03_21:00:00
@k6_cathddu,"#名刺代わりの小説10選 
我慢できなかった pic.twitter.com/nGOZPAJ0js",2019-10-03_21:00:00
@mitmarin,"#名刺代わりの小説10選
No.6
バッテリー（ラスト・イニング）
新世界より
和菓子のアン
凍りのくじら
メリーゴーランド
風が強く吹いている
ゼロ、ハチ、ゼロ、ナナ。
宝石商リチャード氏の謎鑑定",2019-10-03_21:00:00
@amatsumi_,"#名刺代わりの小説10選
フランク・シェッツィング／深海のYrr
同上／砂漠のゲシュペンスト
坂口安吾／堕落論
柳田国男／遠野物語
宮沢賢治／銀河鉄道の夜
司馬遼太郎／花神
チェーホフ／ワーニャ伯父さん
冲方丁／光圀伝
百田尚樹／夏の騎士
辻村七子／宝石商リチャード氏の謎鑑定 pic.twitter.com/Op8KjAThw4",2019-10-03_21:00:00
@adkLUdUhuveVR2m,"#名刺代わりの小説10選

・三毛猫ホームズの推理
・フォーチュンクエスト
・ハイスクールオーラバスター
・空色勾玉
・スレイヤーズ
・龍と魔法使い
・なんて素敵にジャパネスク
・ノルウェイの森
・長い長い殺人
・宝石商リチャード氏の謎鑑定",2019-10-03_21:00:00
@sugino_stopline,"十二国記
三国志演義
守り人
宝石商リチャード氏の謎鑑定
しゃばけ
シャーロックホームズ
後宮の烏
泣虫弱虫諸葛孔明
魔術師オーフェン無謀編
図書館戦争

 #名刺代わりの小説10選

シリーズ物で冊数を積んでいく",2019-10-03_21:00:00
@ashkw_kw,"#名刺代わりの小説10選
太陽からの風
ペスト
名人（川端）
兎の眼
甲賀忍法帖
沈黙（古川）
死んだ女は歩かない
仮装人物
悲しみの歌
深い河",2019-10-03_21:00:00
@negidori,"蒼穹のファフナー 冲方丁
精霊の守り人 上橋菜穂子 
NO’6 あさのあつこ
銀河英雄伝説 田中芳樹
黒ねこサンゴロウ 竹下文子
なんて素敵にジャパネスク 氷室冴子
戦闘妖精雪風 神林長平
宝石商リチャード氏の事件簿 辻村七子
人類は衰退しました 田中ロミオ
ドグラマグラ 夢野久作 #名刺代わりの小説10選",2019-10-03_21:00:00
@okrk7,"笑う月/安部公房
遠野物語/柳田國男
死者のための音楽/山白朝子
きつねのはなし/森見登美彦
GOSICK/桜庭一樹
木島日記/大塚英志
Missing/甲田学人
怪談/小泉八雲
姫たちばな/室生犀星
カロリーヌ/ピエール・プロブスト

 #名刺代わりの小説10選
最後だけ児童書(絵本)で入れていいか悩んだけど外せない",2019-10-03_21:00:00
@atrm_sasa,"塩狩峠/三浦綾子
どんぐり姉妹/よしもとばなな
歌行燈/泉鏡花
神々の島マムダ/江副信子
ステーシー/大槻ケンヂ
勾玉シリーズ(◎白鳥異伝)/荻原規子
豊穣の海シリーズ(◎春の雪)/三島由紀夫
月と六ペンス/モーム
押絵の奇跡/夢野久作
銀河鉄道の夜/宮沢賢治

 #名刺代わりの小説10選",2019-10-03_21:00:00
@YuR1H4,"#名刺代わりの小説10選

されど罪人は竜と踊る
天帝のはしたなき果実
スワロウテイル人工少女販売処
戦闘妖精雪風
Op.ローズダスト
ROMES 06
ヤングガン・カルナバル
子どもたちは夜と遊ぶ
ステーシー
殺し屋志願",2019-10-03_21:00:00
@sirokumagorou,"宝石商リチャード氏の謎鑑定
儚い羊たちの祝宴
残穢
営繕かるかや怪異譚
黒と茶の幻想
十二国記
あやし
おそろし
ガンゲイルオンライン
麦の海に沈む果実

 #名刺代わりの小説10選",2019-10-03_21:00:00
@moke_syuu,"#名刺代わりの小説10選
絵のない絵本
しあわせは子猫のかたち
No.6
西の魔女が死んだ
美しい村
アルジャーノンに花束を
ナイチンゲールの沈黙
星新一
くますけと一緒に
GOSICK",2019-10-03_21:00:00
@sero_horizon,"#名刺代わりの小説10選
十二国記/小野不由美
悪霊シリーズ/同上
西の魔女が死んだ/梨木果歩
バッテリー/あさのあつこ
天体議会/長野まゆみ
スキップ/北村薫
犀川&萌絵シリーズ/森博嗣
クラウド・コレクター/クラフト・エヴィング商會
本好きの下剋上/香月美夜
宝石商リチャード氏の謎鑑定/辻村七子",2019-10-03_21:00:00
@882gi,"宝石商リチャード氏の謎鑑定
プシュケの涙
雪蟷螂
私が大好きな小説家を殺すまで
義兄
おちゃらけ王
うちの執事が言うことには
HappyDeathDey
コンビニたそがれ堂
刀語
 #名刺代わりの小説10選",2019-10-03_21:00:00
@diego_zorro18,"全部シリーズものだね。他にもいろいろあるんだけども、とりあえず。　
　
アルディーンとダディフェイスの続きはいつまででも待ってるから……！！　
井上ほのか先生の新作出たら何でも買う……！　
#名刺代わりの小説10選 pic.twitter.com/ntn6UHR3WZ",2019-10-03_21:00:00
@yuyatamago716,"#名刺代わりの小説10選
銀河英雄伝説：田中芳樹
十二国記：小野不由美
プリズンホテル：浅田次郎
三国志：吉川英治
しゃばけ：畠中恵
退屈姫君伝：米村圭伍
容疑者Xの献身：東野圭吾
孤宿の人：宮部みゆき
赤毛のアン：モンゴメリ
オリエント急行殺人事件：アガサ・クリスティ",2019-10-03_21:00:00
@Giselle2va,"#名刺代わりの小説10選
エミリー・ブロンテ『嵐ヶ丘』
森鴎外『山椒太夫』
泉鏡花『外科室』
樋口一葉『十六夜』
樋口一葉『大つごもり』
谷崎潤一郎『春琴抄』
梨木果歩『家守綺譚』
梨木香歩『冬虫夏草』
三浦しをん『秘密の花園』
『江戸奇談怪談集』",2019-10-03_21:00:00
@yu91n00,"#名刺代わりの小説10選

刺青
小公女
十二国記
若草物語
伯爵と妖精
すてきなケティ
樹上のゆりかご
麦の海に沈む果実
しあわせなポリアンナ
宝石商リチャード氏の謎鑑定

少女小説に紛れる谷崎……",2019-10-03_21:00:00
@saho_camera,"#名刺代わりの小説10選
十二国記
ルーンの子供たち
銀河英雄伝説
ねじまき鳥クロニクル
空色勾玉
ハリーポッターと秘密の部屋
ドラゴンライダー
ロック・ラモーラの優雅な企み
西の善き魔女
西の魔女が死んだ",2019-10-03_21:00:00
@I_Kyoka710,"#名刺代わりの小説10選

砂の女
第四間氷期
壁─S・カルマ氏の犯罪
飢餓同盟
笑う月
カンガルー・ノート
箱男
箱舟さくら丸
人間そっくり
密会",2019-10-03_21:00:00
@Author_90884,"#名刺代わりの小説10選 
怪盗クイーン/はやみねかおる
名探偵夢水清志郎事件ノート/はやみねかおる
ぼくらの先生！/はやみねかおる
都会のトム&ソーヤ/はやみねかおる
ぼくと未来屋の夏/はやみねかおる
赤い夢の迷宮/勇嶺薫
人間失格/太宰治
パスワードはひみつ/松原秀行
博士の愛した数式/小川洋子",2019-10-03_21:00:00
@manhattan0326,"#名刺代わりの小説10選
腕貫探偵/西澤保彦
収穫祭/西澤保彦
十角館の殺人/綾辻行人
ロシア紅茶の謎/有栖川有栖
うちの執事が言うことには/高里椎奈
四畳半神話大系/森見登美彦
折れた竜骨/米澤穂信
満願/米澤穂信
黒と茶の幻想/恩田陸
宝石商リチャード氏の謎鑑定/辻村七子

字数ギリギリ！！！",2019-10-03_21:00:00
@hujikappa,"#名刺代わりの小説10選
銀河鉄道の夜/宮沢賢治
神様/川上弘美
神坐す山の物語/浅田次郎
月下の恋人/浅田次郎
わが町・青春の逆説/織田作之助
夏への扉/ロバート・A・ハインライン
舟を編む/三浦しをん
“文学少女“と慟哭の巡礼者/野村美月
陰摩羅鬼の瑕/京極夏彦
遠野物語/柳田國男",2019-10-03_21:00:00
@c_jptk,"ナルニア国物語/C•S•ルイス
はてしない物語/M•エンデ
風にのってきたメアリー•ポピンズ/P.L. トラヴァース
ふたりのロッテ/ケストナー
おちゃめなふたご/E•ブライトン

#名刺代わりの小説10選",2019-10-03_21:00:00
@kiryu_kiri,"#名刺代わりの小説10選

本棚見て目についた本を適当に。

バチカン奇跡調査官
宝石商リチャード氏の謎鑑定
有栖川有栖作品
ブギーポップ
されど罪人は竜と踊る
バナナ剥ぎには最適の日々
死香探偵
さよなら、シリアルキラー
悪魔の辞典
ヘビトンボの季節に自殺した五人姉妹",2019-10-03_21:00:00
@kana78990056,"#名刺代わりの小説10選
八月六日上々天氣/長野まゆみ
ここに地終わり 海始まる/宮本輝
狐笛のかなた/上橋菜穂子
バッテリー/あさのあつこ
NIGHT HEAD/飯田譲治
神様のボート/江國香織
新宿鮫/大沢在昌
エイジ/重松清
パーフェクト・ブルー/宮部みゆき
青の炎/貴志祐介",2019-10-03_21:00:00
@renge0413,"#名刺代わりの小説10選
宝石商リチャード氏の謎鑑定
スレイヤーズ
ミニスカ宇宙海賊
心霊探偵八雲
神様のメモ帳
おこぼれ姫と円卓の騎士
インディゴの夜
夜光街
四龍島
なぞとき遺跡発掘部",2019-10-03_21:00:00
