auth,co,val,val_sum,val_norm
D・キイス,劉慈欣,0.3333333333333333,0.4790807467457012,0.2867812081536194
D・キイス,凪良ゆう,0.3333333333333333,1.9127904104462585,0.21746858705361155
D・キイス,中山可穂,0.3333333333333333,2.4837252646304386,0.20213725412302258
D・キイス,村田沙耶香,0.5,10.896946665170127,0.1914836564971627
D・キイス,遠藤周作,0.5,15.405496793495663,0.17257894448253117
D・キイス,奥田英朗,0.3333333333333333,7.2086603616365945,0.14522730470474426
D・キイス,森博嗣,0.3333333333333333,22.436827599117688,0.10335721706112201
D・キイス,恩田陸,0.3333333333333333,49.72560702490151,0.0841805300964007
JKローリング,小野不由美,0.28125,38.544794031145045,0.07560548800055071
JKローリング,上橋菜穂子,0.21875,22.832044881448617,0.06750188789395059
JKローリング,有川浩,0.25,56.13864680316211,0.061348043846768605
JKローリング,森見登美彦,0.1875,36.031055819773144,0.05126994053046314
JKローリング,辻村深月,0.1875,43.84774799802103,0.04881704834028066
JKローリング,はやみねかおる,0.09375,4.3846485250186396,0.04781925271839771
JKローリング,重松清,0.125,12.773392255462719,0.045615398225013336
JKローリング,冲方丁,0.09375,5.167490130332407,0.04539819407250791
JKローリング,池井戸潤,0.09375,5.4989432605083595,0.044510754064650986
JKローリング,石田衣良,0.09375,5.929459190951275,0.04345713676074808
J・P・ホーガン,恩田陸,0.4,49.72560702490151,0.10101663611568086
J・P・ホーガン,宮下奈都,0.2,4.933381471272492,0.09828381476028519
J・P・ホーガン,三浦しをん,0.2,22.097779076955153,0.06227636827228363
J・P・ホーガン,森博嗣,0.2,22.436827599117688,0.06201433023667321
J・P・ホーガン,上橋菜穂子,0.2,22.832044881448617,0.061716011788754827
J・P・ホーガン,筒井康隆,0.2,24.88131129798225,0.060280890307228496
J・P・ホーガン,森見登美彦,0.2,36.031055819773144,0.05468793656582735
J・P・ホーガン,東野圭吾,0.2,58.05049490549634,0.04869644348597831
J・R・R・トールキン,上橋菜穂子,0.4,22.832044881448617,0.12343202357750965
J・R・R・トールキン,藤沢周平,0.2,4.240332741079754,0.10309382515499885
J・R・R・トールキン,伊坂幸太郎,0.3,59.30297453520922,0.07268362430150087
J・R・R・トールキン,田中芳樹,0.2,13.540441578705448,0.07171981561554257
J・R・R・トールキン,乙一,0.2,18.356639423464554,0.0656149946220206
J・R・R・トールキン,宮沢賢治,0.2,20.69637905706855,0.06342436332508906
J・R・R・トールキン,村上龍,0.2,24.511052519870056,0.060527285978312834
J・R・R・トールキン,森見登美彦,0.2,36.031055819773144,0.05468793656582735
J・R・R・トールキン,恩田陸,0.2,49.72560702490151,0.05050831805784043
J・R・R・トールキン,有川浩,0.2,56.13864680316211,0.049078435077414884
S.キング,清水義範,0.13333333333333333,0.2097454882515858,0.12410848313253427
S.キング,芥川龍之介,0.26666666666666666,24.62222800421148,0.08060365335863313
S.キング,佐藤多佳子,0.13333333333333333,2.868616649690971,0.07750026164663047
S.キング,司馬遼太郎,0.26666666666666666,29.486399498459964,0.07680244189183022
S.キング,大沢在昌,0.13333333333333333,3.249773229016789,0.07463712458727964
S.キング,江國香織,0.13333333333333333,16.171737354488407,0.045372559862938824
S.キング,安部公房,0.13333333333333333,16.593351317454445,0.04503427838362312
あさのあつこ,有川浩,0.3269230769230769,56.13864680316211,0.08022436503038971
あさのあつこ,三浦しをん,0.23717948717948717,22.097779076955153,0.07385338545110558
あさのあつこ,恩田陸,0.28846153846153844,49.72560702490151,0.07284853566034676
あさのあつこ,宮部みゆき,0.19230769230769232,38.46845452489639,0.05172180703152634
あさのあつこ,香月日輪,0.08333333333333333,2.6435834586295646,0.04962349909267442
あさのあつこ,辻村深月,0.1858974358974359,43.84774799802103,0.04839980861087655
あさのあつこ,上橋菜穂子,0.14743589743589744,22.832044881448617,0.04549577792119747
あさのあつこ,重松清,0.12179487179487179,12.773392255462719,0.04444577262950017
あさのあつこ,森見登美彦,0.16025641025641027,36.031055819773144,0.04382046199184884
あさのあつこ,伊坂幸太郎,0.1794871794871795,59.30297453520922,0.043485929069274024
いしいしんじ,森絵都,0.16,11.54671179815843,0.060199972164879434
いしいしんじ,小川洋子,0.18,19.574789675654547,0.05798453608865889
いしいしんじ,梨木香歩,0.18,20.053457453477158,0.05759041212777445
いしいしんじ,夢枕獏,0.12,7.783218540792462,0.05103086299708796
いしいしんじ,森見登美彦,0.16,36.031055819773144,0.04375034925266188
いしいしんじ,村上龍,0.14,24.511052519870056,0.042369100184818986
いしいしんじ,江國香織,0.12,16.171737354488407,0.04083530387664494
いしいしんじ,明石散人,0.04,0.04,0.039424094407487155
いしいしんじ,宮部みゆき,0.14,38.46845452489639,0.03765347551895118
いしいしんじ,恩田陸,0.14,49.72560702490151,0.0353558226404883
いとうせいこう,香月日輪,0.2,2.6435834586295646,0.11909639782241861
いとうせいこう,吉川英治,0.2,3.027836950921087,0.11438214614706836
いとうせいこう,三浦綾子,0.2,7.1552374679499415,0.08734172323693658
いとうせいこう,山田詠美,0.2,7.653765001735077,0.08550244548835131
いとうせいこう,森見登美彦,0.3,36.031055819773144,0.08203190484874101
いとうせいこう,太宰治,0.3,47.34206811371459,0.0766630265715918
いとうせいこう,小川洋子,0.2,19.574789675654547,0.0644272623207321
いとうせいこう,夏目漱石,0.2,38.102306316070724,0.05392017804093557
いとうせいこう,恩田陸,0.2,49.72560702490151,0.05050831805784043
うえお久光,伊藤計劃,0.75,23.075302557038327,0.2307602990125059
うえお久光,恩田陸,0.75,49.72560702490151,0.1894061927169016
