auth,co,val
江國香織,恩田陸,0.18840579710144928
江國香織,伊坂幸太郎,0.17391304347826086
江國香織,村上春樹,0.16521739130434782
江國香織,小川洋子,0.1391304347826087
江國香織,太宰治,0.1246376811594203
江國香織,吉本ばなな,0.1246376811594203
江國香織,森見登美彦,0.09855072463768116
江國香織,東野圭吾,0.09855072463768116
江國香織,山田詠美,0.09565217391304348
江國香織,夏目漱石,0.08985507246376812
江國香織,有川浩,0.08405797101449275
江國香織,森絵都,0.0782608695652174
江國香織,梨木香歩,0.0782608695652174
江國香織,川上弘美,0.0782608695652174
江國香織,辻村深月,0.0782608695652174
江國香織,桜庭一樹,0.07536231884057971
江國香織,三浦しをん,0.07246376811594203
江國香織,森博嗣,0.06666666666666667
江國香織,原田マハ,0.06086956521739131
江國香織,宮沢賢治,0.05507246376811594
江國香織,宮部みゆき,0.04927536231884058
江國香織,よしもとばなな,0.04927536231884058
江國香織,谷崎潤一郎,0.04927536231884058
江國香織,重松清,0.04927536231884058
江國香織,西加奈子,0.0463768115942029
江國香織,瀬尾まいこ,0.0463768115942029
江國香織,長野まゆみ,0.0463768115942029
江國香織,石田衣良,0.0463768115942029
江國香織,三島由紀夫,0.0463768115942029
江國香織,遠藤周作,0.043478260869565216
江國香織,中村文則,0.043478260869565216
江國香織,乙一,0.043478260869565216
江國香織,夢野久作,0.043478260869565216
江國香織,星新一,0.04057971014492753
江國香織,湊かなえ,0.04057971014492753
江國香織,角田光代,0.04057971014492753
江國香織,川上未映子,0.04057971014492753
江國香織,島本理生,0.03768115942028986
江國香織,山本文緒,0.03768115942028986
江國香織,朝井リョウ,0.034782608695652174
江國香織,小野不由美,0.03188405797101449
江國香織,米澤穂信,0.03188405797101449
江國香織,奥田英朗,0.03188405797101449
江國香織,モンゴメリ,0.03188405797101449
江國香織,芥川龍之介,0.03188405797101449
江國香織,貴志祐介,0.028985507246376812
江國香織,辻仁成,0.028985507246376812
江國香織,村田沙耶香,0.028985507246376812
江國香織,ミヒャエル・エンデ,0.028985507246376812
江國香織,平野啓一郎,0.02608695652173913
江國香織,司馬遼太郎,0.02608695652173913
江國香織,宮本輝,0.02608695652173913
江國香織,江戸川乱歩,0.02608695652173913
江國香織,京極夏彦,0.02608695652173913
江國香織,川端康成,0.02318840579710145
江國香織,島田荘司,0.02318840579710145
江國香織,あさのあつこ,0.02318840579710145
江國香織,村山由佳,0.02318840579710145
江國香織,姫野カオルコ,0.020289855072463767
江國香織,上橋菜穂子,0.020289855072463767
江國香織,新井素子,0.020289855072463767
江國香織,田辺聖子,0.020289855072463767
江國香織,荻原規子,0.020289855072463767
江國香織,梶井基次郎,0.020289855072463767
江國香織,灰谷健次郎,0.020289855072463767
江國香織,山崎豊子,0.020289855072463767
江國香織,池井戸潤,0.020289855072463767
江國香織,綾辻行人,0.017391304347826087
江國香織,綿矢りさ,0.017391304347826087
江國香織,いしいしんじ,0.017391304347826087
江國香織,本多孝好,0.017391304347826087
江國香織,凪良ゆう,0.017391304347826087
江國香織,北村薫,0.017391304347826087
江國香織,桐野夏生,0.017391304347826087
江國香織,中山可穂,0.017391304347826087
江國香織,宮下奈都,0.017391304347826087
江國香織,伊藤計劃,0.017391304347826087
江國香織,浅田次郎,0.017391304347826087
江國香織,安部公房,0.014492753623188406
江國香織,中村航,0.014492753623188406
江國香織,百田尚樹,0.014492753623188406
江國香織,山崎ナオコーラ,0.014492753623188406
江國香織,サン=テグジュペリ,0.014492753623188406
江國香織,沢木耕太郎,0.014492753623188406
江國香織,金城一紀,0.014492753623188406
江國香織,吉田修一,0.014492753623188406
江國香織,藤沢周平,0.011594202898550725
江國香織,中島らも,0.011594202898550725
江國香織,幸田文,0.011594202898550725
江國香織,坂口安吾,0.011594202898550725
江國香織,ドストエフスキー,0.011594202898550725
江國香織,近藤史恵,0.011594202898550725
江國香織,佐藤正午,0.011594202898550725
